,topic,word,count,prop,score
221,1,staring,9,0.0018769551616266945,0.16575
223,1,august,1,0.00020855057351407716,0.07583
224,1,august,1,0.00020855057351407716,0.0
226,1,scream,3,0.0006256517205422315,-0.5192899999999999
227,1,scream,3,0.0006256517205422315,0.0
228,1,embarrassed,8,0.0016684045881126173,-0.35499
231,1,dark,9,0.0018769551616266945,0.052779999999999994
232,1,dark,9,0.0018769551616266945,0.02266
233,1,parking,9,0.0018769551616266945,0.0
234,1,full,11,0.0022940563086548487,0.20878000000000002
235,1,full,11,0.0022940563086548487,0.0
236,1,full,11,0.0022940563086548487,0.0
237,1,full,11,0.0022940563086548487,0.0
238,1,rally,1,0.00020855057351407716,-0.1294
239,1,rally,1,0.00020855057351407716,-0.10137
241,1,flat,3,0.0006256517205422315,-0.14355
242,1,flat,3,0.0006256517205422315,-0.16935
243,1,flat,3,0.0006256517205422315,-0.14322000000000001
245,1,play,13,0.002711157455683003,0.59048
246,1,play,13,0.002711157455683003,0.68824
247,1,knife,13,0.002711157455683003,0.0
248,1,knife,13,0.002711157455683003,0.0
249,1,fuck,16,0.0033368091762252345,0.0
250,1,fuck,16,0.0033368091762252345,0.02825
252,1,tournament,1,0.00020855057351407716,0.0
253,1,posed,1,0.00020855057351407716,0.0
255,1,eventually,16,0.0033368091762252345,0.0
256,1,forgive,1,0.00020855057351407716,0.51042
257,1,laughing,10,0.0020855057351407717,-0.13427
258,1,addition,4,0.0008342022940563086,0.0
259,1,younger,8,0.0016684045881126173,-0.28345
260,1,swimming,4,0.0008342022940563086,0.5612
261,1,swimming,4,0.0008342022940563086,0.0
262,1,set,3,0.0006256517205422315,0.09267
263,1,set,3,0.0006256517205422315,0.10909
264,1,set,3,0.0006256517205422315,0.10400000000000001
266,1,fucking,13,0.002711157455683003,0.0417
267,1,fucking,13,0.002711157455683003,0.0
268,1,fucking,13,0.002711157455683003,-0.00793
269,1,whore,1,0.00020855057351407716,-0.5624100000000001
270,1,whore,1,0.00020855057351407716,-0.57689
271,1,label,1,0.00020855057351407716,0.0
272,1,label,1,0.00020855057351407716,-0.03798
273,1,recent,5,0.0010427528675703858,0.0
274,1,recent,5,0.0010427528675703858,0.08148999999999999
275,1,sick,8,0.0016684045881126173,-0.68277
276,1,sick,8,0.0016684045881126173,0.0
277,1,sick,8,0.0016684045881126173,0.0
278,1,distorted,1,0.00020855057351407716,-0.27991
279,1,incapacitated,3,0.0006256517205422315,-0.34088
280,1,elementary,3,0.0006256517205422315,0.27349
281,1,demeaning,2,0.0004171011470281543,-0.5845899999999999
282,1,invitation,3,0.0006256517205422315,0.46262
283,1,maul,1,0.00020855057351407716,0.0
284,1,maul,1,0.00020855057351407716,-0.16777
285,1,weary,1,0.00020855057351407716,-0.43468999999999997
286,1,weary,1,0.00020855057351407716,-0.44278999999999996
289,1,field,2,0.0004171011470281543,0.0
290,1,field,2,0.0004171011470281543,0.19230999999999998
291,1,trip,9,0.0018769551616266945,0.5102399999999999
292,1,trip,9,0.0018769551616266945,0.5429999999999999
293,1,proper,3,0.0006256517205422315,0.19025
294,1,maintenance,1,0.00020855057351407716,0.2382
295,1,contract,3,0.0006256517205422315,0.0487
296,1,contract,3,0.0006256517205422315,-0.01678
297,1,service,6,0.001251303441084463,0.0
298,1,service,6,0.001251303441084463,0.46726
299,1,friendly,11,0.0022940563086548487,0.70614
300,1,friendly,11,0.0022940563086548487,0.73624
301,1,building,2,0.0004171011470281543,0.0
304,1,officer,13,0.002711157455683003,0.0
305,1,officer,13,0.002711157455683003,0.0
306,1,cornered,6,0.001251303441084463,0.0
307,1,closed,14,0.00291970802919708,-0.26602
309,1,escape,18,0.003753910323253389,0.12700999999999998
310,1,escape,18,0.003753910323253389,0.07466
311,1,lucky,11,0.0022940563086548487,0.5354800000000001
312,1,bottom,9,0.0018769551616266945,-0.32083
313,1,bottom,9,0.0018769551616266945,-0.30339
314,1,bottom,9,0.0018769551616266945,0.0
315,1,stranger,16,0.0033368091762252345,-0.20135999999999998
317,1,stole,4,0.0008342022940563086,0.0
320,1,dude,5,0.0010427528675703858,0.0
321,1,hear,19,0.003962460896767466,0.0
322,1,magazine,3,0.0006256517205422315,0.0
323,1,bouncer,2,0.0004171011470281543,0.0
324,1,sticking,3,0.0006256517205422315,0.0
325,1,colombia,1,0.00020855057351407716,0.0
326,1,naked,7,0.00145985401459854,0.33919
328,1,precious,5,0.0010427528675703858,0.49746
329,1,precious,5,0.0010427528675703858,0.46681000000000006
330,1,bread,3,0.0006256517205422315,0.0
331,1,bread,3,0.0006256517205422315,0.0
332,1,shit,3,0.0006256517205422315,-0.27348
333,1,shit,3,0.0006256517205422315,-0.25056
334,1,sitting,12,0.002502606882168926,-0.16777
335,1,sitting,12,0.002502606882168926,0.0
336,1,bus,24,0.005005213764337852,0.07927000000000001
337,1,bus,24,0.005005213764337852,0.0
338,1,route,1,0.00020855057351407716,0.0
339,1,route,1,0.00020855057351407716,0.0
341,1,figured,7,0.00145985401459854,0.0
342,1,normal,1,0.00020855057351407716,0.29928
343,1,normal,1,0.00020855057351407716,0.0
344,1,specific,2,0.0004171011470281543,0.0
345,1,specific,2,0.0004171011470281543,0.0
346,1,remembering,6,0.001251303441084463,0.0
347,1,apartment,12,0.002502606882168926,0.0
349,1,wall,10,0.0020855057351407717,0.04895
350,1,wall,10,0.0020855057351407717,0.0
351,1,yelling,7,0.00145985401459854,-0.34088
352,1,neighbor,11,0.0022940563086548487,0.0
353,1,neighbor,11,0.0022940563086548487,0.0
354,1,swinging,1,0.00020855057351407716,-0.1665
355,1,swinging,1,0.00020855057351407716,0.0
357,1,chased,2,0.0004171011470281543,0.0
365,1,travel,3,0.0006256517205422315,0.0
366,1,travel,3,0.0006256517205422315,0.0
368,1,nod,2,0.0004171011470281543,0.0
369,1,nod,2,0.0004171011470281543,-0.0015300000000000001
370,1,visiting,2,0.0004171011470281543,0.0
371,1,restaurant,5,0.0010427528675703858,0.0
374,1,confusion,1,0.00020855057351407716,-0.46995
375,1,planning,1,0.00020855057351407716,0.0
376,1,violate,2,0.0004171011470281543,-0.56318
379,1,principal,3,0.0006256517205422315,0.08552
380,1,principal,3,0.0006256517205422315,0.0
381,1,randomly,5,0.0010427528675703858,0.17826
382,1,suddenly,8,0.0016684045881126173,0.0
383,1,disgusting,13,0.002711157455683003,-0.66804
385,1,stays,2,0.0004171011470281543,0.0
386,1,uttered,1,0.00020855057351407716,0.0
387,1,skin,7,0.00145985401459854,0.0
388,1,skin,7,0.00145985401459854,0.0
389,1,due,1,0.00020855057351407716,0.03717
390,1,due,1,0.00020855057351407716,-0.06847
391,1,due,1,0.00020855057351407716,0.0
392,1,model,1,0.00020855057351407716,0.30591999999999997
393,1,model,1,0.00020855057351407716,0.34834
394,1,model,1,0.00020855057351407716,0.0
395,1,edison,1,0.00020855057351407716,0.0
396,1,grab,12,0.002502606882168926,0.0
397,1,grab,12,0.002502606882168926,0.06452999999999999
398,1,street,21,0.004379562043795621,0.03702
399,1,land,1,0.00020855057351407716,0.45348999999999995
400,1,land,1,0.00020855057351407716,0.0
401,1,lady,2,0.0004171011470281543,0.45327
