topic,word,count,prop,score,x,y,helper,expected,expected_scaled
8,offer,3,9.97E-04,0.06326,79.30247074,151.1568297,6.30E-05,0.105768871,1
8,educate,5,0.00166113,0.65547,79.30247074,151.1568297,0.001088821,0.105768871,1
8,introduce,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,talks,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,stress,3,9.97E-04,-0.767455,79.30247074,151.1568297,-7.65E-04,0.105768871,1
8,special,2,6.64E-04,0.313165,79.30247074,151.1568297,2.08E-04,0.105768871,1
8,checked,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,traffic,2,6.64E-04,-0.37758,79.30247074,151.1568297,-2.51E-04,0.105768871,1
8,possibility,2,6.64E-04,0.42091,79.30247074,151.1568297,2.80E-04,0.105768871,1
8,whistling,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,anonymity,2,6.64E-04,-0.03676,79.30247074,151.1568297,-2.44E-05,0.105768871,1
8,soothing,2,6.64E-04,0.50689,79.30247074,151.1568297,3.37E-04,0.105768871,1
8,collective,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,wolf,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,claim,2,6.64E-04,-0.005025,79.30247074,151.1568297,-3.34E-06,0.105768871,1
8,teens,4,0.001328904,0,79.30247074,151.1568297,0,0.105768871,1
8,audio,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,reveal,3,9.97E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,profound,2,6.64E-04,0.46867,79.30247074,151.1568297,3.11E-04,0.105768871,1
8,appreciated,2,6.64E-04,0.17826,79.30247074,151.1568297,1.18E-04,0.105768871,1
8,blowing,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,min,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,confrontation,2,6.64E-04,-0.64438,79.30247074,151.1568297,-4.28E-04,0.105768871,1
8,investigation,2,6.64E-04,-0.15112,79.30247074,151.1568297,-1.00E-04,0.105768871,1
8,remove,2,6.64E-04,-0.116015,79.30247074,151.1568297,-7.71E-05,0.105768871,1
8,offender,3,9.97E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,directing,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,openly,3,9.97E-04,0.12208,79.30247074,151.1568297,1.22E-04,0.105768871,1
8,stifle,4,0.001328904,-7.85E-04,79.30247074,151.1568297,-1.04E-06,0.105768871,1
8,humanity,2,6.64E-04,0.47976,79.30247074,151.1568297,3.19E-04,0.105768871,1
8,mrs,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,pornography,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,magnitude,8,0.002657807,-0.00844,79.30247074,151.1568297,-2.24E-05,0.105768871,1
8,clothing,3,9.97E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,surprised,3,9.97E-04,0.44736,79.30247074,151.1568297,4.46E-04,0.105768871,1
8,gap,2,6.64E-04,-0.034685,79.30247074,151.1568297,-2.30E-05,0.105768871,1
8,worldwide,2,6.64E-04,-0.0307,79.30247074,151.1568297,-2.04E-05,0.105768871,1
8,initiative,2,6.64E-04,0.189955,79.30247074,151.1568297,1.26E-04,0.105768871,1
8,informed,2,6.64E-04,0.17826,79.30247074,151.1568297,1.18E-04,0.105768871,1
8,sexism,3,9.97E-04,-0.19821,79.30247074,151.1568297,-1.98E-04,0.105768871,1
8,highly,3,9.97E-04,0.29757,79.30247074,151.1568297,2.97E-04,0.105768871,1
8,terminated,2,6.64E-04,0.19229,79.30247074,151.1568297,1.28E-04,0.105768871,1
8,honor,2,6.64E-04,0.459825,79.30247074,151.1568297,3.06E-04,0.105768871,1
8,transparency,2,6.64E-04,0.19971,79.30247074,151.1568297,1.33E-04,0.105768871,1
8,wing,3,9.97E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,dive,2,6.64E-04,0.08867,79.30247074,151.1568297,5.89E-05,0.105768871,1
