"","word","dataset","prop"
"509","poem💔","metoo",1.71629623272977e-05
"510","built","metoo",6.86518493091908e-05
"511","lifenow","metoo",1.71629623272977e-05
"512","longer","metoo",0.000703681455419205
"513","wife","metoo",0.000463399982837038
"514","anniversary💔you","metoo",1.71629623272977e-05
"515","matebut","metoo",1.71629623272977e-05
"516","showed","metoo",0.000274607397236763
"517","hatealways","metoo",1.71629623272977e-05
"518","downyou","metoo",1.71629623272977e-05
"519","heart","metoo",0.00066935553076461
"520","drownyou","metoo",1.71629623272977e-05
"521","shoved","metoo",8.58148116364885e-05
"522","dignityso","metoo",1.71629623272977e-05
"523","deep","metoo",0.000257444434909465
"524","belowyou","metoo",1.71629623272977e-05
"525","tearsever","metoo",1.71629623272977e-05
"526","flowthere","metoo",1.71629623272977e-05
"527","problemthat","metoo",1.71629623272977e-05
"528","seethat","metoo",1.71629623272977e-05
"529","rage","metoo",0.000137303698618382
"530","onand","metoo",3.43259246545954e-05
"531","freak","metoo",3.43259246545954e-05
"532","medown","metoo",1.71629623272977e-05
"533","hallway","metoo",8.58148116364885e-05
"534","fleetrying","metoo",1.71629623272977e-05
"535","break","metoo",0.000257444434909465
"536","freefrom","metoo",1.71629623272977e-05
"537","hateful","metoo",3.43259246545954e-05
"538","manthat","metoo",1.71629623272977e-05
"539","meyou","metoo",1.71629623272977e-05
"540","mei","metoo",3.43259246545954e-05
"541","better","metoo",0.000806659229382991
"542","placeas","metoo",1.71629623272977e-05
"543","raged","metoo",1.71629623272977e-05
"544","destroyed","metoo",0.000102977773963786
"545","sacred","metoo",1.71629623272977e-05
"546","spaceas","metoo",1.71629623272977e-05
"547","backat","metoo",1.71629623272977e-05
"548","gone","metoo",0.000583540719128122
"549","byon","metoo",1.71629623272977e-05
"550","youi","metoo",1.71629623272977e-05
"551","relyi","metoo",1.71629623272977e-05
"552","rebuilt","metoo",1.71629623272977e-05
"553","family","metoo",0.00336394061615035
"554","lifeever","metoo",1.71629623272977e-05
"555","gratefuli","metoo",1.71629623272977e-05
